This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
"ARA, ITA",ara(Arabic),ita(Italian),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_44103,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_49355,,,,,,,,
"ARA, LAT",ara(Arabic),lat(Latin),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_37661,,,,,,,,,
"Albanian, English",sqi(Albanian),eng(English),,y,,,,http://data.europeana.eu/item/9200235/https___www_dropbox_com_s_q11ppwpx6isdixk_DOE_Workers_Leaving_the_Studio_EBook_pdf_dl_0,,,,,,,,,
Allemand-Français,fra(French),deu(German),,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135726040,,,,,,,,,
