This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and a non-ambigouos language label in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Are'are,alu('Are'are),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_30146_,,,,,,,,,
",italiano,",ita(Italian),,,y,,,,http://data.europeana.eu/item/2058606/object_FRS_17860696,http://data.europeana.eu/item/2058606/object_FRS_17860700,http://data.europeana.eu/item/2058606/object_FRS_17860701,http://data.europeana.eu/item/2058606/object_FRS_17860702,http://data.europeana.eu/item/2058606/object_FRS_17860699,http://data.europeana.eu/item/2058606/object_FRS_17860703,http://data.europeana.eu/item/2058606/object_FRS_17860704,http://data.europeana.eu/item/2058606/object_FRS_17860709,http://data.europeana.eu/item/2058606/object_FRS_17860707,http://data.europeana.eu/item/2058606/object_FRS_17860706
ARABE,ara(Arabic),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_2087_,http://data.europeana.eu/item/2059208/archives_items_6178_,http://data.europeana.eu/item/2059208/archives_items_6202_,http://data.europeana.eu/item/2059208/archives_items_6203_,http://data.europeana.eu/item/2059208/archives_items_6204_,,,,,
ARABE?,ara(Arabic),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_6201_,,,,,,,,,
Afrikaans,afr(Afrikaans),,,y,,,,http://data.europeana.eu/item/2022333/1D630E3CEA569187BDF58D7B3DD1A06E4B2D76F2,http://data.europeana.eu/item/9200235/download_type_document_docid_579713,http://data.europeana.eu/item/2059209/data_sounds_C0740X001X21_0100,,,,,,,
