This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and a non-ambigouos language label in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Nanaï,gld(Nanai),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_51467_,http://data.europeana.eu/item/2059208/archives_items_51468_,,,,,,,,
Nederlands,nld(Dutch),,,y,,,,http://data.europeana.eu/item/2021401/E64F0A12A5D3F073E87F294640F00A08EE50257F,http://data.europeana.eu/item/2021401/AFAC603E13467F78E9A66825C8924894E208F974,http://data.europeana.eu/item/2021401/872543AB883BD13F5065DE48022C15FB74863ACF,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1051,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1053,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1052,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1050,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1055,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1054,http://data.europeana.eu/item/2020728/HA_adlib_physicalobject_1056
Nenets,yrk(Nenets),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_3399_,http://data.europeana.eu/item/2059208/archives_items_51459_,http://data.europeana.eu/item/2059208/archives_items_51460_,,,,,,,
Nengone,nen(Nengone),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_38586_,,,,,,,,,
