This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
"French, English",fra(French),eng(English),,y,,,,http://data.europeana.eu/item/9200235/e_book_9782870161289_pdf,,,,,,,,,
"French, German",fra(French),deu(German),,y,,,,http://data.europeana.eu/item/9200235/viewbooktoc_product_216384,http://data.europeana.eu/item/9200235/viewbooktoc_product_219838,http://data.europeana.eu/item/9200235/viewbooktoc_product_220209,http://data.europeana.eu/item/9200235/viewbooktoc_product_224890,http://data.europeana.eu/item/9200235/viewbooktoc_product_224699,http://data.europeana.eu/item/9200235/viewbooktoc_product_225998,http://data.europeana.eu/item/9200235/viewbooktoc_product_226043,http://data.europeana.eu/item/9200235/viewbooktoc_product_248226,http://data.europeana.eu/item/9200235/viewbooktoc_product_248232,http://data.europeana.eu/item/9200235/viewbooktoc_product_248225
"French, German, English",fra(French),deu(German),eng(English),y,,,,http://data.europeana.eu/item/2022092/10796_E8DA89B9_0991_407B_872E_06CE9738CE17_cho,,,,,,,,,
"GER, ITA",deu(German),ita(Italian),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_22316,,,,,,,,,
"GRC, ITA",ita(Italian),grc(Ancient Greek (to 1453)),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_30322,,,,,,,,,
