This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Slovenian Serbian,srp(Serbian),slv(Slovenian),,y,,,,http://data.europeana.eu/item/09203/EUS_D286D392DF354B68BE135223A2DE6A86,,,,,,,,,
Slovenian Ukrainian,slv(Slovenian),ukr(Ukrainian),,y,,,,http://data.europeana.eu/item/09203/EUS_D599623600524CD0BAF4C544C9789B0F,,,,,,,,,
Spanish ; English,spa(Spanish),eng(English),,y,,,,http://data.europeana.eu/item/2022092/10796_02C9071D_588F_4C0E_AD25_B088CF45286E_cho,http://data.europeana.eu/item/2022092/10796_6425C4D5_E2BA_4C1B_93B1_8BDF5A78AEE7_cho,,,,,,,,
Spanish ; French,fra(French),spa(Spanish),,y,,,,http://data.europeana.eu/item/2022092/10796_409E890A_E68B_4F1A_B45D_22A95729B10F_cho,http://data.europeana.eu/item/2022092/10796_604E5B42_2D4D_42D5_A7AD_9E409224A9C5_cho,http://data.europeana.eu/item/2022092/10796_9292A223_62AE_4F30_98AE_04F050847215_cho,http://data.europeana.eu/item/2022092/10796_E0EBFD92_78DD_4652_88EB_F8D3E2D5EBDA_cho,,,,,,
