This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
enm ; lat,enm(Middle English (1100-1500)),lat(Latin),,y,,,,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312217,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312498,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312513,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312547,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312567,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312415,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312436,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312438,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312440,http://data.europeana.eu/item/9200397/BibliographicResource_3000126312597
"eo
 Esperanto",epo(Esperanto),,,y,,,,http://data.europeana.eu/item/9200106/709EFC40E34B5798DF16E33B722AF1A6FBF0D42D,,,,,,,,,
"es
 Spanish",spa(Spanish),,,y,,,,http://data.europeana.eu/item/9200106/23049852504CF8813B11F002511883E4B7F5A118,http://data.europeana.eu/item/9200106/AFD85840AE61740033DD58C12A903F91C540E9E2,http://data.europeana.eu/item/9200106/BD3DFD7125034472BA09F16B56A2606C06C6756E,http://data.europeana.eu/item/9200106/CA0CCA94F6BFC2DA43E7D46BD0465376B8B7DFB8,http://data.europeana.eu/item/9200106/D18F054C5F340C13FE909501E045BB342ACCDE6D,http://data.europeana.eu/item/9200106/AC92FAC94B74653576F0C518E1B9008CB60E64B1,http://data.europeana.eu/item/9200106/3E1AF08FF5623DC7D0B9BDC1D43647A64C975F19,http://data.europeana.eu/item/9200106/067DFA741E3BFBC3BE00E32963D07FEBB197ED87,http://data.europeana.eu/item/9200106/7A48B9CE37E2BC814E2A97E3371846D6CA8F8124,http://data.europeana.eu/item/9200106/35E1D16BA6C7395BB90AA57ED4647BF244D3C4E2
es - fr,fra(French),spa(Spanish),,y,,,,http://data.europeana.eu/item/08001/Consult_index_asp_numfiche_231,,,,,,,,,
